subject,chapter,difficulty,question_text,option_a,option_b,option_c,option_d,correct_option,explanation
Chemistry,Atomic Structure,hard,The wavelength of an electron moving at 1/100th the speed of light is approximately: (h=6.626×10⁻³⁴ J·s, mₑ=9.11×10⁻³¹ kg),2.42×10⁻¹⁰ m,2.42×10⁻¹² m,2.42×10⁻⁸ m,2.42×10⁻¹⁵ m,A,λ = h/(mv); v = 3×10⁶ m/s; calculation gives ~2.42×10⁻¹⁰ m.
Chemistry,Atomic Structure,hard,If an electron falls from n=4 to n=2 in a hydrogen atom, which series does this belong to?,Lyman,Balmer,Paschen,Brackett,B,Transitions to n=2 belong to the Balmer series.
Chemistry,Atomic Structure,hard,How many orbitals are in the n=4 shell?,4,9,16,32,C,Number of orbitals = n² = 4² = 16.
Chemistry,Atomic Structure,hard,Which ion has the largest radius?,O²⁻,F⁻,Na⁺,Mg²⁺,A,O²⁻ has the most electrons and least nuclear charge in this isoelectronic series.
Chemistry,Atomic Structure,hard,The electron affinity of chlorine is greater than that of fluorine because:,Fluorine has higher electronegativity,Chlorine has more electron shells,Fluorine has smaller atomic size,Chlorine has less shielding,C,Fluorine's small size leads to electron-electron repulsion, reducing EA.
Chemistry,Atomic Structure,hard,Which set of quantum numbers is invalid?,n=3, l=2, m_l=-1, m_s=+½,n=2, l=1, m_l=0, m_s=-½,n=1, l=1, m_l=0, m_s=+½,n=4, l=3, m_l=2, m_s=+½,C,For n=1, l can only be 0, not 1.
Chemistry,Atomic Structure,hard,Calculate the average atomic mass of boron if ¹⁰B (10.0129 amu) is 19.9% and ¹¹B (11.0093 amu) is 80.1%.,10.81 amu,10.50 amu,11.00 amu,10.01 amu,A,(0.199×10.0129) + (0.801×11.0093) = 10.81 amu.
Chemistry,Atomic Structure,hard,Which element has the highest electronegativity?,Cl,F,O,N,B,Fluorine is the most electronegative element.
Chemistry,Atomic Structure,hard,How many unpaired electrons are in a ground-state oxygen atom?,0,1,2,4,C,Oxygen: 1s² 2s² 2p⁴ → two unpaired electrons in 2p.
Chemistry,Atomic Structure,hard,Which transition emits the shortest wavelength?,n=3 to n=2,n=4 to n=2,n=5 to n=2,n=6 to n=2,D,Greater energy difference → shorter wavelength; n=6 to n=2 is largest drop.
Chemistry,Chemical Bonding,simple,Which bond is formed by sharing electrons?,Ionic,Covalent,Metallic,Hydrogen,B,Covalent bonds involve electron sharing.
Chemistry,Chemical Bonding,simple,NaCl is an example of which type of bond?,Covalent,Ionic,Metallic,Coordinate,B,NaCl is an ionic compound.
Chemistry,Chemical Bonding,simple,How many valence electrons does carbon have?,2,4,6,8,B,Carbon is in group 14, so it has 4 valence electrons.
Chemistry,Chemical Bonding,simple,Which molecule has a triple bond?,H₂,O₂,N₂,Cl₂,C,N₂ has a triple bond.
Chemistry,Chemical Bonding,simple,What is the shape of a methane (CH₄) molecule?,Linear,Trigonal planar,Tetrahedral,Bent,C,CH₄ has tetrahedral geometry.
Chemistry,Chemical Bonding,simple,Which is the most electronegative element?,O,Cl,F,N,C,Fluorine has the highest electronegativity.
Chemistry,Chemical Bonding,simple,Which bond is the strongest?,Single,Double,Triple,All are equal,C,Triple bonds are shorter and stronger.
Chemistry,Chemical Bonding,simple,What type of bond holds metals together?,Ionic,Covalent,Metallic,Hydrogen,C,Metallic bonds hold metal atoms together.
Chemistry,Chemical Bonding,simple,Which molecule is polar?,CO₂,CH₄,H₂O,CCl₄,C,H₂O has a bent shape and is polar.
Chemistry,Chemical Bonding,simple,What is the Lewis structure of O₂?,O=O,O-O,O≡O,O:O,A,O₂ has a double bond.
Chemistry,Chemical Bonding,medium,Which molecule has sp hybridization?,CH₄,C₂H₄,C₂H₂,NH₃,C,C₂H₂ (acetylene) has sp hybridization.
Chemistry,Chemical Bonding,medium,What is the bond angle in a water molecule?,90°,104.5°,109.5°,120°,B,Water has a bent shape with ~104.5° bond angle.
Chemistry,Chemical Bonding,medium,Which molecule exhibits resonance?,CO₂,O₃,CH₄,NH₃,B,Ozone (O₃) has resonance structures.
Chemistry,Chemical Bonding,medium,What is the VSEPR notation for SF₆?,AX₄,AX₆,AX₅E,AX₄E₂,B,SF₆ has 6 bonding pairs, no lone pairs → AX₆.
Chemistry,Chemical Bonding,medium,Which intermolecular force is strongest?,London dispersion,Dipole-dipole,Hydrogen bonding,Ion-dipole,C,Hydrogen bonding is the strongest among common intermolecular forces.
Chemistry,Chemical Bonding,medium,Which molecule has a dipole moment of zero?,H₂O,NH₃,CO₂,CHCl₃,C,CO₂ is linear and symmetrical, so dipole moment cancels.
Chemistry,Chemical Bonding,medium,How many sigma and pi bonds are in C₂H₄?,4 σ, 1 π,5 σ, 1 π,4 σ, 2 π,5 σ, 0 π,B,C₂H₄ has 5 sigma bonds and 1 pi bond (double bond).
Chemistry,Chemical Bonding,medium,Which is a polar molecule?,BF₃,CH₄,NF₃,CO₂,C,NF₃ has a trigonal pyramidal shape and is polar.
Chemistry,Chemical Bonding,medium,What hybridization does carbon have in CH₄?,sp,sp²,sp³,sp³d,C,CH₄ has tetrahedral geometry with sp³ hybridization.
Chemistry,Chemical Bonding,hard,What is the bond order of O₂?,1,2,2.5,3,B,O₂ has a double bond, so bond order = 2.
Chemistry,Chemical Bonding,hard,Which molecule violates the octet rule?,NH₃,BF₃,CH₄,H₂O,B,BF₃ has only 6 electrons around boron.
Chemistry,Chemical Bonding,hard,What is the molecular geometry of ClF₃?,Trigonal planar,T-shaped,Tetrahedral,Square planar,B,ClF₃ has 3 bonds and 2 lone pairs → T-shaped.
Chemistry,Chemical Bonding,hard,Which has the highest boiling point?,CH₄,NH₃,HF,H₂O,D,H₂O has strong hydrogen bonding and highest boiling point.
Chemistry,Chemical Bonding,hard,What is the formal charge on nitrogen in NO₃⁻?,+1,0,-1,+2,A,In the resonance structure of NO₃⁻, N has FC = +1.
Chemistry,Chemical Bonding,hard,Which compound has both ionic and covalent bonds?,NaCl,CH₄,NH₄Cl,CO₂,C,NH₄Cl has covalent bonds in NH₄⁺ and ionic bonds with Cl⁻.
Chemistry,Chemical Bonding,hard,What is the bond angle in SF₆?,90°,109.5°,120°,180°,A,SF₆ is octahedral with 90° bond angles.
Chemistry,Chemical Bonding,hard,Which molecule is paramagnetic?,O₂,N₂,H₂,F₂,A,O₂ has two unpaired electrons, making it paramagnetic.
Chemistry,Chemical Bonding,hard,What is the hybridization of sulfur in SO₃?,sp,sp²,sp³,sp³d,B,SO₃ is trigonal planar with sp² hybridization.
Chemistry,Chemical Bonding,hard,Which has the shortest C–C bond length?,Ethane,Ethene,Ethyne,Benzene,C,Ethyne has a triple bond, shortest bond length.
Chemistry,Atomic Structure,simple,Who discovered the electron?,Rutherford,Thomson,Bohr,Chadwick,B,J.J. Thomson discovered the electron.
Chemistry,Atomic Structure,simple,Which particle has no charge?,Proton,Neutron,Electron,Ion,B,Neutrons are neutral.
Chemistry,Atomic Structure,simple,What is the symbol for gold?,Go,Gd,Au,Ag,C,Au is gold.
Chemistry,Atomic Structure,simple,How many periods are in the periodic table?,7,8,18,4,A,There are 7 periods.
Chemistry,Atomic Structure,simple,Which group contains noble gases?,1,2,17,18,D,Group 18 is noble gases.
Chemistry,Atomic Structure,medium,Which element has the electron configuration [Ne]3s²3p¹?,Mg,Al,Si,P,B,Aluminum has atomic number 13: [Ne]3s²3p¹.
Chemistry,Atomic Structure,medium,Which is the largest atom?,Li,Na,K,Rb,D,Atomic size increases down a group; Rb is largest.
Chemistry,Atomic Structure,medium,Which has the highest electron affinity?,F,Cl,Br,I,B,Chlorine has higher electron affinity than fluorine due to size effects.
Chemistry,Atomic Structure,medium,How many d-electrons does Fe have?,4,6,8,10,B,Fe: [Ar]4s²3d⁶ → 6 d-electrons.
Chemistry,Atomic Structure,medium,Which ion is smallest?,Na⁺,Mg²⁺,Al³⁺,O²⁻,C,Al³⁺ has highest charge, smallest radius in isoelectronic series.
Chemistry,Atomic Structure,hard,What is the wavelength of light emitted from n=3 to n=2 in hydrogen? (R=1.097×10⁷ m⁻¹),656 nm,486 nm,434 nm,410 nm,A,Balmer series: 1/λ = R(1/4 - 1/9) → λ ≈ 656 nm.
Chemistry,Atomic Structure,hard,Which has the greatest ionization energy?,B,C,N,O,C,N has half-filled p-subshell, higher IE than O.
Chemistry,Atomic Structure,hard,How many p-orbitals are in the n=3 shell?,1,3,5,7,B,p-subshell always has 3 orbitals.
Chemistry,Atomic Structure,hard,Which element has the lowest melting point?,Li,Na,K,Cs,D,Melting point decreases down group 1; Cs is lowest.
Chemistry,Atomic Structure,hard,What is the de Broglie wavelength of an electron with kinetic energy 10 eV?,3.9×10⁻¹⁰ m,1.2×10⁻⁹ m,2.5×10⁻¹⁰ m,5.0×10⁻¹⁰ m,A,λ = h/√(2mE) ≈ 3.9×10⁻¹⁰ m.
Chemistry,Chemical Bonding,simple,How many bonds can carbon form?,2,3,4,6,C,Carbon forms 4 bonds.
Chemistry,Chemical Bonding,simple,Which molecule is linear?,H₂O,CO₂,NH₃,CH₄,B,CO₂ is linear.
Chemistry,Chemical Bonding,simple,What is the formula for sodium chloride?,NaCl,Na₂Cl,NaCl₂,Na₂Cl₂,A,NaCl is the correct formula.
Chemistry,Chemical Bonding,simple,Which bond is nonpolar?,H–Cl,O–H,Cl–Cl,C–O,C,Cl–Cl is homonuclear, nonpolar.
Chemistry,Chemical Bonding,simple,Which has the highest boiling point?,He,Ne,Ar,Xe,D,Boiling point increases with molar mass in noble gases.
Chemistry,Chemical Bonding,medium,What is the shape of NH₃?,Linear,Trigonal planar,Tetrahedral,Trigonal pyramidal,D,NH₃ has trigonal pyramidal geometry.
Chemistry,Chemical Bonding,medium,Which is a network covalent solid?,NaCl,Diamond,Fe,H₂O,B,Diamond is a network covalent solid.
Chemistry,Chemical Bonding,medium,How many lone pairs are in H₂O?,1,2,3,4,B,Water has two lone pairs on oxygen.
Chemistry,Chemical Bonding,medium,Which molecule has the largest dipole moment?,CO₂,CH₄,NH₃,BF₃,C,NH₃ is polar with significant dipole moment.
Chemistry,Chemical Bonding,medium,What is the bond order of N₂?,1,2,3,4,C,N₂ has a triple bond, bond order = 3.
Chemistry,Chemical Bonding,hard,Which has the highest lattice energy?,NaCl,MgO,KCl,CaO,B,MgO has higher charges (Mg²⁺, O²⁻) and smaller ions.
Chemistry,Chemical Bonding,hard,What is the hybridization of iodine in ICl₄⁻?,sp³,sp³d,sp³d²,sp²,C,ICl₄⁻ has 6 electron pairs → sp³d².
Chemistry,Chemical Bonding,hard,Which molecule is square planar?,CH₄,XeF₄,NH₃,H₂O,B,XeF₄ is square planar.
Chemistry,Chemical Bonding,hard,What is the bond angle in PH₃?,107°,109.5°,93°,120°,C,PH₃ has smaller bond angle (~93°) due to poor p-orbital overlap.
Chemistry,Chemical Bonding,hard,Which has the lowest boiling point?,CH₄,SiH₄,GeH₄,SnH₄,A,CH₄ has weakest London forces, lowest boiling point.
Chemistry,Atomic Structure,simple,How many electrons can the 2p subshell hold?,2,6,10,14,B,p-subshell holds 6 electrons.
Chemistry,Atomic Structure,medium,Which element has the highest metallic character?,Na,Mg,Al,Si,A,Metallic character decreases across a period; Na is most metallic.
Chemistry,Atomic Structure,hard,Which ion has the largest hydration energy?,Li⁺,Na⁺,K⁺,Rb⁺,A,Smaller ions have higher hydration energy; Li⁺ is smallest.
Chemistry,Chemical Bonding,simple,Which molecule has a double bond?,H₂,O₂,N₂,F₂,B,O₂ has a double bond.
Chemistry,Chemical Bonding,medium,What is the VSEPR notation for CH₄?,AX₂,AX₃,AX₄,AX₂E₂,C,CH₄ has 4 bonding pairs, no lone pairs → AX₄.
Chemistry,Chemical Bonding,hard,Which has the highest bond dissociation energy?,F₂,Cl₂,Br₂,I₂,B,Cl₂ has higher bond energy than F₂ due to repulsion in F₂.
Chemistry,Atomic Structure,simple,What is the atomic mass unit (amu) based on?,Mass of proton,Mass of carbon-12,Mass of hydrogen-1,Mass of oxygen-16,B,1 amu = 1/12 mass of carbon-12 atom.
Chemistry,Atomic Structure,medium,Which has the smallest ionic radius?,F⁻,Na⁺,Mg²⁺,O²⁻,C,Mg²⁺ has highest charge, smallest radius in isoelectronic series.
Chemistry,Chemical Bonding,simple,Which bond is ionic?,H–H,Na–Cl,C–O,N–N,B,Na–Cl is ionic.
Chemistry,Chemical Bonding,hard,What is the bond order of O₂²⁻?,1,1.5,2,2.5,A,O₂²⁻ (peroxide) has bond order = 1.
