subject,chapter,difficulty,question_text,option_a,option_b,option_c,option_d,correct_option,explanation
"Logic","Chapter 5","hard","Case: 'Everyone I know supports this idea; therefore it must be correct.' Identify the fallacy.","Bandwagon","Ad hominem","Appeal to authority","Slippery slope","A","Bandwagon fallacy assumes popularity implies truth."
"Logic","Chapter 6","simple","The subject of a categorical proposition is?","The term being predicated","The term being discussed","The class the statement is about","The conclusion","C","The subject refers to the class being discussed in the proposition."
"Logic","Chapter 6","medium","The predicate in 'All cats are mammals' is?","Cats","All","Mammals","None","C","Predicate refers to the class attributed to the subject."
"Logic","Chapter 6","hard","Case: 'Some birds are not flightless.' Identify quantity and quality.","Particular, affirmative","Universal, negative","Particular, negative","Universal, affirmative","A","Some = particular; statement affirms existence of flying birds."
"Logic","Chapter 6","simple","Conversion of a categorical proposition involves?","Swapping subject and predicate","Negating both terms","Contraposition","Shading in a Venn diagram","A","Conversion swaps the subject and predicate."
"Logic","Chapter 6","medium","Obversion changes a proposition by?","Negating the predicate and changing quality","Switching subject and predicate","Negating both terms","Adding new subject","A","Obversion negates the predicate and changes affirmative to negative or vice versa."
"Logic","Chapter 6","hard","Trick: 'All A are B', 'All B are C', 'Some C are not D'. Can we infer 'Some A are not D'?","Yes","No","Only if D exists","Cannot say","B","No direct inference about A and D can be made from these premises alone."
"Logic","Chapter 6","medium","Cogency of an inductive argument depends on?","Truth of premises and strength","Logical validity","Form of syllogism","Negation","A","Inductive arguments are cogent if strong and premises are probably true."
"Logic","Chapter 6","medium","Soundness of a deductive argument requires?","Strong inference only","True premises and valid form","Valid form only","True conclusion only","B","Deductive arguments are sound if valid and all premises are true."
"Logic","Chapter 6","hard","Case: 'All A are B', 'All B are C', 'No C are D', which inference is valid?","Some A are D","All A are D","No valid inference","Some B are not D","C","No immediate inference can be drawn about A and D without additional premises."
"Logic","Chapter 4","hard","Case: A student identifies flaws in reasoning and evaluates sources for bias. This demonstrates?","Critical thinking","Hasty generalization","Uncritical thinking","Dogmatism","A","Spotting flaws and assessing sources reflects critical thinking."
"Logic","Chapter 4","medium","Which trait involves considering opposing viewpoints?","Closed-mindedness","Open-mindedness","Bias","Prejudice","B","Open-mindedness involves evaluating alternative perspectives fairly."
"Logic","Chapter 4","hard","Trick: A person always accepts authority without question. This is?","Critical thinker","Uncritical thinker","Skeptic","Reasonable","B","Uncritical thinking occurs when claims are accepted without evaluation."
"Logic","Chapter 5","hard","Case: 'If you disagree with me, you are unpatriotic.' Identify the fallacy.","False dichotomy","Ad hominem","Appeal to emotion","Slippery slope","A","False dichotomy limits options incorrectly to two extremes."
"Logic","Chapter 6","hard","Case: Represent 'Some A are B' using Venn diagram.","Shade outside A and B","Shade intersection","Leave intersection unshaded","Shade all circles","C","Some A are B is shown by leaving at least part of the intersection unshaded."
"Logic","Chapter 6","medium","Contraposition involves?","Swapping subject and predicate and negating both","Negating only the predicate","Negating only the subject","Shading diagrams","A","Contraposition swaps and negates both subject and predicate."
"Logic","Chapter 6","simple","Immediate inference deals with?","Relations between propositions","Validity of premises","Truth of conclusion","Fallacies","A","Immediate inferences are conclusions drawn from a single proposition without additional premises."
"Logic","Chapter 6","hard","Trick: 'All A are B', 'All B are C', 'Some C are not D'. Can we infer 'Some A are not D'?","Yes","No","Only if D exists","Cannot say","B","No direct inference about A and D can be made from these premises alone."
"Logic","Chapter 4","simple","Critical thinkers consistently evaluate the credibility of sources. This trait is called?","Source evaluation","Bias","Hasty generalization","Prejudice","A","Critical thinkers assess the credibility and reliability of information sources."
"Logic","Chapter 4","medium","A principle of critical thinking includes?","Ignoring conflicting evidence","Analyzing assumptions","Accepting all claims","Following tradition","B","Analyzing assumptions ensures reasoning is based on sound logic."
"Logic","Chapter 4","hard","Case: A student examines an argument and challenges hidden premises before accepting it. This is an example of?","Dogmatism","Critical thinking","Uncritical thinking","Conformity","B","Challenging hidden premises demonstrates critical thinking."
"Logic","Chapter 4","simple","One trait of a critical thinker is?","Open-mindedness","Blind acceptance","Dogmatism","Hasty generalization","A","Critical thinkers remain open to evaluating different perspectives."
"Logic","Chapter 4","medium","Trick: Ignoring evidence that contradicts your beliefs demonstrates?","Open-mindedness","Closed-mindedness","Critical thinking","Skepticism","B","Closed-mindedness prevents fair evaluation of alternative evidence."
"Logic","Chapter 4","hard","Case: A student evaluates conflicting claims about a topic before concluding. This demonstrates?","Dogmatism","Critical thinking","Bias","Hasty conclusion","B","Considering conflicting claims shows critical thinking."
"Logic","Chapter 5","simple","A flawed argument is called?","Premise","Fallacy","Conclusion","Fact","B","A fallacy is an argument containing an error in reasoning."
"Logic","Chapter 5","medium","Ad hominem fallacy occurs when?","The person is attacked instead of argument","A premise is false","The conclusion is true","Arguments are valid","A","Ad hominem targets the individual rather than the argument."
"Logic","Chapter 5","hard","Case: 'You can't trust her because she is inexperienced.' This is an example of?","Red herring","Ad hominem","Straw man","Post hoc","B","Attacking a person's character instead of their argument is ad hominem."
"Logic","Chapter 5","simple","Post hoc fallacy assumes?","Sequential events indicate causation","Argument is strong","Conclusion is false","Evidence is valid","A","Post hoc assumes that because one event follows another, it caused it."
"Logic","Chapter 5","medium","Straw man fallacy misrepresents what?","Opponent's argument","Your own argument","Evidence","Premises","A","Straw man distorts the opponent’s argument to refute it easily."
"Logic","Chapter 5","hard","Trick: 'Either support my plan or you are against progress.' This fallacy is?","False dichotomy","Red herring","Slippery slope","Ad hominem","A","False dichotomy incorrectly limits options to two extremes."
"Logic","Chapter 5","medium","Appeal to authority is fallacious when?","The authority is irrelevant","The argument is valid","Evidence is strong","Conclusion is sound","A","Citing an irrelevant or unreliable authority is fallacious."
"Logic","Chapter 5","hard","Case: 'Everyone I know agrees, so it must be correct.' Identify the fallacy.","Bandwagon","Ad hominem","Appeal to emotion","Slippery slope","A","Bandwagon assumes popularity equates to truth."
"Logic","Chapter 6","simple","The subject of a categorical proposition represents?","The class being discussed","Predicate term","Individual example","Conclusion","A","The subject denotes the class of objects the proposition addresses."
"Logic","Chapter 6","medium","Predicate in 'All cats are mammals' is?","Cats","All","Mammals","None","C","Predicate identifies the class attributed to the subject."
"Logic","Chapter 6","hard","Case: 'Some birds are not flightless.' Identify quantity and quality.","Particular, affirmative","Universal, negative","Particular, negative","Universal, affirmative","A","Some = particular; statement affirms existence of flying birds."
"Logic","Chapter 6","simple","Conversion of a proposition involves?","Swapping subject and predicate","Negating both terms","Contraposition","Shading in Venn diagram","A","Conversion swaps subject and predicate without changing quality."
"Logic","Chapter 6","medium","Obversion changes a proposition by?","Negating predicate and changing quality","Switching subject and predicate","Negating both terms","Adding new subject","A","Obversion negates the predicate and changes quality (affirmative ↔ negative)."
"Logic","Chapter 6","hard","Trick: If 'All A are B' and 'Some B are not C', can we infer 'Some A are not C'?","Yes","No","Only if C exists","Cannot say","B","No immediate inference can be made without additional premises."
"Logic","Chapter 6","medium","Cogency of an inductive argument depends on?","Truth of premises and strength","Logical validity","Form of syllogism","Negation","A","Inductive arguments are cogent if strong and premises are likely true."
"Logic","Chapter 6","medium","Soundness of a deductive argument requires?","Strong inference only","True premises and valid form","Valid form only","True conclusion only","B","Deductive arguments are sound if valid and all premises are true."
"Logic","Chapter 6","hard","Case: 'All A are B', 'All B are C', 'No C are D'. Which inference is valid?","Some A are D","All A are D","No valid inference","Some B are not D","C","No direct inference about A and D can be drawn without more premises."
"Logic","Chapter 4","hard","Case: Evaluating sources for credibility and bias demonstrates?","Critical thinking","Hasty generalization","Dogmatism","Uncritical thinking","A","Assessing credibility and bias reflects critical thinking."
"Logic","Chapter 4","medium","Which trait involves considering alternative viewpoints?","Closed-mindedness","Open-mindedness","Bias","Prejudice","B","Open-mindedness evaluates alternative perspectives fairly."
"Logic","Chapter 4","hard","Trick: Accepting claims based solely on authority indicates?","Critical thinking","Uncritical thinking","Skepticism","Reasoning","B","Uncritical thinkers rely on authority without evaluation."
"Logic","Chapter 5","hard","Case: 'Disagreeing with me means you hate the country.' This fallacy is?","False dichotomy","Ad hominem","Appeal to emotion","Slippery slope","A","False dichotomy wrongly limits options to two extremes."
"Logic","Chapter 6","hard","Case: Represent 'Some A are B' in a Venn diagram.","Shade outside A and B","Shade intersection","Leave intersection unshaded","Shade all circles","C","Some A are B is represented by leaving part of the intersection unshaded."
"Logic","Chapter 6","medium","Contraposition involves?","Swapping subject and predicate and negating both","Negating only the predicate","Negating only the subject","Shading diagrams","A","Contraposition swaps and negates both subject and predicate."
"Logic","Chapter 6","simple","Immediate inference deals with?","Relations between propositions","Validity of premises","Truth of conclusion","Fallacies","A","Immediate inferences are conclusions drawn from a single proposition."
"Logic","Chapter 6","hard","Trick: 'All A are B', 'All B are C', 'Some C are not D'. Can we infer 'Some A are not D'?","Yes","No","Only if D exists","Cannot say","B","No inference about A and D can be made from these premises."
"Logic","Chapter 4","hard","Case: A student identifies reasoning flaws and evaluates evidence credibility. This demonstrates?","Critical thinking","Uncritical thinking","Dogmatism","Bias","A","Spotting reasoning flaws and assessing evidence is critical thinking."
"Logic","Chapter 4","medium","Critical thinkers evaluate?","Only their own beliefs","All claims and evidence","Only authority statements","Only textbooks","B","Critical thinkers analyze claims and evidence from multiple sources."
"Logic","Chapter 5","hard","Case: 'Everyone agrees, so it must be correct.' Identify the fallacy.","Bandwagon","Ad hominem","Appeal to authority","Slippery slope","A","Bandwagon assumes popularity equals truth."
"Logic","Chapter 6","hard","Trick: 'All A are B', 'All B are C', 'Some C are not D'. What can be concluded about A and D?","Some A are D","No valid inference","All A are D","Some A are not D","B","No direct inference can be made from the premises alone."
"Logic","Chapter 6","medium","The square of opposition shows?","Relations among categorical propositions","Strength of inductive arguments","Truth of premises","Fallacies","A","It illustrates contradictions, contraries, subcontraries, and subalterns between propositions."
"Logic","Chapter 4","simple","Critical thinking requires evaluating?","Opinions only","Arguments and evidence","Feelings","Stories","B","Critical thinking involves careful evaluation of arguments and evidence."
"Logic","Chapter 4","medium","Which habit improves critical thinking?","Accepting all claims","Analyzing assumptions","Ignoring opposing views","Avoiding reasoning","B","Analyzing assumptions ensures sound reasoning."
"Logic","Chapter 4","hard","Case: A student questions data reliability before citing it. This demonstrates?","Dogmatism","Critical thinking","Bias","Hasty conclusion","B","Questioning evidence demonstrates critical thinking."
"Logic","Chapter 4","simple","One standard of critical thinking is?","Fairness","Haste","Emotion","Authority","A","Critical thinking standards include fairness, clarity, and accuracy."
"Logic","Chapter 4","medium","Trick: Ignoring evidence that contradicts your beliefs shows?","Open-mindedness","Closed-mindedness","Skepticism","Reasoning","B","Ignoring contradictory evidence indicates closed-mindedness."
"Logic","Chapter 4","hard","Case: A student evaluates opposing claims before concluding. This shows?","Dogmatism","Critical thinking","Bias","Hasty conclusion","B","Considering conflicting claims demonstrates critical thinking."
"Logic","Chapter 4","simple","Reflective self-awareness refers to?","Understanding your own thought process","Memorizing facts","Following tradition","Accepting authority","A","Evaluating your reasoning is reflective self-awareness."
"Logic","Chapter 4","medium","A key principle of critical thinking is?","Ignoring evidence","Analyzing assumptions","Accepting claims blindly","Avoiding reasoning","B","Analyzing assumptions ensures sound conclusions."
"Logic","Chapter 4","hard","Case: Student identifies hidden premises. This is an example of?","Uncritical thinking","Critical thinking","Dogmatism","Bias","B","Spotting hidden assumptions is critical thinking."
"Logic","Chapter 4","simple","Trait of critical thinkers is?","Open-mindedness","Blind acceptance","Dogmatism","Hasty generalization","A","Critical thinkers are open to different viewpoints."
"Logic","Chapter 4","medium","Critical thinking improves decision-making by?","Ignoring alternatives","Evaluating options rationally","Accepting authority","Following tradition","B","Rational evaluation of evidence improves decision-making."
"Logic","Chapter 4","hard","Trick: Believing only personal experience without evidence is?","Critical thinking","Uncritical thinking","Skepticism","Reasoning","B","Uncritical thinking relies on personal experience only."
"Logic","Chapter 5","simple","A fallacy is an argument that?","Is valid","Is flawed or misleading","Is true","Is universally accepted","B","A fallacy contains an error in reasoning."
"Logic","Chapter 5","medium","Ad hominem occurs when?","Argument is valid","The person is attacked instead of argument","Premises are false","Conclusion is true","B","Ad hominem attacks the individual rather than the argument."
"Logic","Chapter 5","hard","Case: 'You cannot trust her argument because she is inexperienced.' Identify fallacy.","Red herring","Ad hominem","Slippery slope","Post hoc","B","Attacking the person, not the argument, is ad hominem."
"Logic","Chapter 5","simple","Post hoc fallacy assumes?","Sequential events indicate causation","Argument is valid","Conclusion is true","Evidence is strong","A","Post hoc mistakes sequence for causation."
"Logic","Chapter 5","medium","Straw man misrepresents?","Opponent's argument","Your argument","Premises","Evidence","A","Straw man distorts opponent’s argument for easy refutation."
"Logic","Chapter 5","hard","Trick: 'Either support me or you hate progress.' This is?","False dichotomy","Red herring","Slippery slope","Ad hominem","A","False dichotomy limits options to two extremes."
"Logic","Chapter 5","medium","Appeal to authority fallacy occurs when?","Authority is irrelevant","Argument is valid","Evidence is strong","Conclusion is sound","A","Citing irrelevant authority is fallacious."
"Logic","Chapter 5","hard","Case: 'Everyone I know agrees; therefore it must be correct.' Identify the fallacy.","Bandwagon","Ad hominem","Appeal to emotion","Slippery slope","A","Popularity is incorrectly equated with truth."
"Logic","Chapter 6","simple","The subject of a categorical proposition is?","The class being discussed","Predicate term","Individual example","Conclusion","A","The subject denotes the class addressed."
"Logic","Chapter 6","medium","Predicate in 'All cats are mammals' is?","Cats","All","Mammals","None","C","Predicate identifies the class attributed to the subject."
"Logic","Chapter 6","hard","Case: 'Some birds are not flightless.' Identify quantity and quality.","Particular, affirmative","Universal, negative","Particular, negative","Universal, affirmative","A","Some = particular; statement affirms existence of flying birds."
"Logic","Chapter 6","simple","Conversion involves?","Swapping subject and predicate","Negating both terms","Contraposition","Shading in Venn diagram","A","Conversion swaps subject and predicate without changing quality."
"Logic","Chapter 6","medium","Obversion changes a proposition by?","Negating predicate and changing quality","Switching subject and predicate","Negating both terms","Adding new subject","A","Obversion negates the predicate and changes quality."
"Logic","Chapter 6","hard","Trick: 'All A are B' and 'Some B are not C', can we infer 'Some A are not C'?","Yes","No","Only if C exists","Cannot say","B","No direct inference without additional premises."
"Logic","Chapter 6","medium","Cogency of an inductive argument depends on?","Truth of premises and strength","Logical validity","Form of syllogism","Negation","A","Inductive arguments are cogent if strong and premises are likely true."
"Logic","Chapter 6","medium","Soundness of a deductive argument requires?","Strong inference only","True premises and valid form","Valid form only","True conclusion only","B","Deductive arguments are sound if valid and all premises are true."
"Logic","Chapter 6","hard","Case: 'All A are B', 'All B are C', 'No C are D'. Which inference is valid?","Some A are D","All A are D","No valid inference","Some B are not D","C","No inference about A and D can be drawn without more premises."
"Logic","Chapter 4","hard","Case: Evaluating evidence and sources for bias demonstrates?","Critical thinking","Dogmatism","Uncritical thinking","Hasty generalization","A","Assessing reasoning and evidence reflects critical thinking."
"Logic","Chapter 4","medium","Open-mindedness involves?","Considering alternative viewpoints","Rejecting opposing evidence","Following authority blindly","Hasty generalization","A","Open-mindedness requires fair evaluation of alternatives."
"Logic","Chapter 4","hard","Trick: Accepting all claims based solely on authority indicates?","Critical thinking","Uncritical thinking","Skepticism","Reasoning","B","Uncritical thinking relies on authority without evaluation."
"Logic","Chapter 5","hard","Case: 'Disagreeing with me means you hate the country.' This fallacy is?","False dichotomy","Ad hominem","Appeal to emotion","Slippery slope","A","False dichotomy incorrectly limits options to two extremes."
"Logic","Chapter 6","hard","Case: Represent 'Some A are B' in a Venn diagram.","Shade outside A and B","Shade intersection","Leave intersection unshaded","Shade all circles","C","Some A are B is represented by leaving part of the intersection unshaded."
"Logic","Chapter 6","medium","Contraposition involves?","Swapping subject and predicate and negating both","Negating only the predicate","Negating only the subject","Shading diagrams","A","Contraposition swaps and negates both subject and predicate."
"Logic","Chapter 6","simple","Immediate inference deals with?","Relations between propositions","Validity of premises","Truth of conclusion","Fallacies","A","Immediate inferences are conclusions drawn from a single proposition."
"Logic","Chapter 6","hard","Trick: 'All A are B', 'All B are C', 'Some C are not D'. Can we infer 'Some A are not D'?","Yes","No","Only if D exists","Cannot say","B","No inference about A and D can be made from the premises alone."
"Logic","Chapter 4","hard","Case: Identifying flaws in reasoning and evaluating credibility demonstrates?","Critical thinking","Uncritical thinking","Dogmatism","Bias","A","Spotting reasoning flaws and assessing evidence is critical thinking."
"Logic","Chapter 4","medium","Critical thinkers evaluate?","Only their beliefs","All claims and evidence","Only authority statements","Only textbooks","B","Critical thinkers analyze claims and evidence from multiple sources."
"Logic","Chapter 5","hard","Case: 'Everyone agrees, so it must be correct.' Identify the fallacy.","Bandwagon","Ad hominem","Appeal to emotion","Slippery slope","A","Bandwagon assumes popularity equals truth."
"Logic","Chapter 6","hard","Trick: 'All A are B', 'All B are C', 'Some C are not D'. Can we conclude 'Some A are not D'?","Yes","No","Only if D exists","Cannot say","B","No inference about A and D can be made from the premises alone."
