subject,chapter,difficulty,question_text,option_a,option_b,option_c,option_d,correct_option,explanation
Psychology,Chapter 2,medium,"""Which best explains sensory threshold?""","""Ability to perceive meaning""","""Minimum stimulus intensity""","""Interpretation of stimuli""","""Adaptation level""",B,"""Sensory threshold refers to detection limits."""
Psychology,Chapter 2,medium,"""Why is absolute threshold defined as 50%?""","""Human error""","""Guarantees accuracy""","""Accounts for variability""","""Eliminates perception""",C,"""Detection varies across trials."""
Psychology,Chapter 2,medium,"""Which factor affects absolute threshold?""","""Stimulus intensity""","""Response bias""","""Motivation""","""All of the above""",D,"""Multiple physical and psychological factors influence detection."""
Psychology,Chapter 2,medium,"""What does Weber's law state?""","""All stimuli are detected equally""","""JND is constant""","""JND is proportional to stimulus intensity""","""Threshold never changes""",C,"""JND depends on original stimulus size."""
Psychology,Chapter 2,medium,"""Why is sensory adaptation useful?""","""It increases pain""","""It saves energy""","""It allows noticing changes""","""It damages receptors""",C,"""Adaptation helps detect important changes."""
Psychology,Chapter 2,medium,"""Why do strong stimuli resist adaptation?""","""They are pleasant""","""They are harmful""","""They are familiar""","""They are learned""",B,"""Ignoring strong pain or cold can be dangerous."""
Psychology,Chapter 2,medium,"""What is attention?""","""Total awareness""","""Selective focus of perception""","""Passive reception""","""Reflex action""",B,"""Attention selects certain stimuli for awareness."""
Psychology,Chapter 2,medium,"""What determines focus and margin?""","""Age and gender""","""Attention and motivation""","""Stimulus size only""","""Learning ability""",B,"""Attention divides experience into focus and margin."""
Psychology,Chapter 2,medium,"""Which external factor most quickly grabs attention?""","""Habit""","""Movement""","""Familiarity""","""Adaptation""",B,"""Moving stimuli are instinctively attention-grabbing."""
Psychology,Chapter 2,medium,"""Why do advertisements repeat messages?""","""To cause fatigue""","""To increase adaptation""","""To gain attention""","""To confuse audience""",C,"""Repetition increases attention."""
Psychology,Chapter 2,medium,"""What is 'set' in perception?""","""Biological readiness""","""Expectation to perceive something""","""Sensory fatigue""","""Emotional reaction""",B,"""Set prepares the perceiver psychologically."""
Psychology,Chapter 2,medium,"""Why do hungry people notice food-related cues?""","""Adaptation""","""Set""","""Motivation""","""Illusion""",C,"""Needs and motives guide attention."""
Psychology,Chapter 2,medium,"""Figure-ground perception helps us to?""","""Judge distance""","""Organize visual field""","""Detect motion""","""Maintain constancy""",B,"""It separates objects from background."""
Psychology,Chapter 2,medium,"""What happens if contours are unclear?""","""Better perception""","""Objects blend with background""","""Stronger contrast""","""Improved attention""",B,"""Lack of contours causes camouflage."""
Psychology,Chapter 3,medium,"""Why is learning defined as 'relatively permanent'?""","""It never changes""","""It excludes temporary changes""","""It ignores behavior""","""It denies biology""",B,"""Temporary changes like fatigue are excluded."""
Psychology,Chapter 3,medium,"""Which factor does NOT influence learning?""","""Motivation""","""Maturation""","""Practice""","""Chance""",D,"""Learning is systematic, not random."""
Psychology,Chapter 3,medium,"""Why is maturation not learning?""","""It is experience-based""","""It occurs automatically""","""It requires reinforcement""","""It involves cognition""",B,"""Maturation occurs naturally without experience."""
Psychology,Chapter 3,medium,"""What distinguishes classical from operant conditioning?""","""Stimulus pairing vs consequences""","""Reinforcement presence""","""Animal learning""","""Cognition only""",A,"""Classical uses stimulus association."""
Psychology,Chapter 3,medium,"""Which learning theory emphasizes imitation?""","""Behavioral""","""Cognitive""","""Social""","""Psychoanalytic""",C,"""Bandura stressed modeling."""
Psychology,Chapter 3,medium,"""Why is reinforcement more effective than punishment?""","""It eliminates behavior""","""It increases fear""","""It strengthens desired behavior""","""It causes extinction""",C,"""Reinforcement encourages repetition."""
Psychology,Chapter 3,medium,"""Which learning involves sudden problem solving?""","""Trial and error""","""Conditioning""","""Insight learning""","""Observational learning""",C,"""Kohler showed sudden understanding."""
Psychology,Chapter 3,medium,"""What role does cognition play in learning?""","""No role""","""Minor role""","""Central role""","""Negative role""",C,"""Cognitive theories emphasize thinking."""
Psychology,Chapter 3,medium,"""Which law explains practice improves learning?""","""Law of readiness""","""Law of exercise""","""Law of effect""","""Law of motivation""",B,"""Practice strengthens associations."""
Psychology,Chapter 3,medium,"""Why is motivation important in learning?""","""It causes fatigue""","""It increases punishment""","""It energizes behavior""","""It blocks thinking""",C,"""Motivation drives learning effort."""
Psychology,Chapter 1,hard,"""Which statement best explains why early psychology struggled for scientific status?""","""Lack of interest in behavior""","""Overreliance on philosophy""","""Absence of experiments""","""Focus on physiology""",B,"""Early psychology relied heavily on philosophical speculation rather than empirical methods."""
Psychology,Chapter 1,hard,"""Structuralism failed mainly because?""","""It ignored biology""","""It studied animals""","""Its method was subjective""","""It rejected consciousness""",C,"""Introspection varied across individuals and lacked reliability."""
Psychology,Chapter 1,hard,"""Functionalism differed from structuralism primarily in?""","""Method used""","""Focus on purpose rather than elements""","""Rejection of consciousness""","""Use of animals""",B,"""Functionalism asked what mental processes do, not what they are made of."""
Psychology,Chapter 1,hard,"""Which situation best reflects behaviorist thinking?""","""Explaining fear using childhood memories""","""Explaining learning using reinforcement""","""Explaining dreams symbolically""","""Explaining thought patterns""",B,"""Behaviorism explains behavior through reinforcement and conditioning."""
Psychology,Chapter 1,hard,"""Calling the mind a 'black box' implies?""","""Mind does not exist""","""Mind cannot be measured directly""","""Mind is irrelevant biologically""","""Mind controls behavior unconsciously""",B,"""Behaviorists ignored internal mental states because they were unobservable."""
Psychology,Chapter 1,hard,"""Which perspective would criticize behaviorism for ignoring free will?""","""Biological""","""Cognitive""","""Humanistic""","""Sociocultural""",C,"""Humanistic psychology emphasizes choice and self-direction."""
Psychology,Chapter 1,hard,"""Which approach would most likely study unconscious conflict?""","""Behavioral""","""Humanistic""","""Psychoanalytic""","""Cognitive""",C,"""Psychoanalysis centers on unconscious motives and conflicts."""
Psychology,Chapter 1,hard,"""A psychologist studying how culture shapes emotion belongs to?""","""Biological""","""Cognitive""","""Sociocultural""","""Psychoanalytic""",C,"""Sociocultural perspective emphasizes cultural influence."""
Psychology,Chapter 1,hard,"""Why can correlation be misleading?""","""It proves causation""","""It ignores variables""","""It cannot identify direction or third factors""","""It eliminates bias""",C,"""Correlation does not explain cause-effect relationships."""
Psychology,Chapter 1,hard,"""Which research method is strongest for cause-effect inference?""","""Survey""","""Case study""","""Correlational""","""Experimental""",D,"""Experiments allow manipulation and control of variables."""
Psychology,Chapter 1,hard,"""Why is random assignment critical but often confused with random sampling?""","""Both reduce bias equally""","""One selects participants and the other assigns them""","""Both manipulate variables""","""Both ensure causation""",B,"""Random sampling selects participants; random assignment allocates them to groups."""
Psychology,Chapter 1,hard,"""An operational definition is best described as?""","""Abstract explanation""","""Subjective judgment""","""Measurable definition of a variable""","""Theoretical assumption""",C,"""It defines variables in measurable terms."""
Psychology,Chapter 2,hard,"""Failure to detect a weak sound due to distraction illustrates?""","""Absolute threshold""","""Sensory adaptation""","""Response bias""","""Perceptual constancy""",C,"""Response bias reflects expectations and attention, not sensory limits."""
Psychology,Chapter 2,hard,"""Why does the absolute threshold vary across trials?""","""Stimulus is constant""","""Human perception fluctuates""","""Perception is learned""","""Threshold is fixed""",B,"""Detection depends on attention, fatigue, and motivation."""
Psychology,Chapter 2,hard,"""Weber's law would predict that?""","""Small weights need large changes""","""Large weights need proportionally larger changes""","""JND is constant for all stimuli""","""Threshold never changes""",B,"""JND increases with stimulus magnitude."""
Psychology,Chapter 2,hard,"""A person stops noticing a constant smell because of?""","""Perceptual set""","""Sensory adaptation""","""Selective attention""","""Absolute threshold""",B,"""Receptors reduce response to unchanging stimuli."""
Psychology,Chapter 2,hard,"""Why is sensory adaptation biologically important?""","""It improves pleasure""","""It prevents overload""","""It highlights changes in environment""","""It increases pain sensitivity""",C,"""Detecting change is critical for survival."""
Psychology,Chapter 2,hard,"""Which example best illustrates selective attention?""","""Hearing faint sounds in silence""","""Ignoring background noise while studying""","""Recognizing faces in crowd""","""Seeing illusions""",B,"""Selective attention filters irrelevant stimuli."""
Psychology,Chapter 2,hard,"""Expectation influencing perception is called?""","""Illusion""","""Adaptation""","""Set""","""Constancy""",C,"""Perceptual set biases interpretation."""
Psychology,Chapter 2,hard,"""A hungry person perceiving neutral images as food-related shows?""","""Illusion""","""Hallucination""","""Perceptual set""","""Sensory threshold""",C,"""Motivation creates expectancy."""
Psychology,Chapter 2,hard,"""Figure-ground reversal demonstrates?""","""Adaptation""","""Constancy""","""Perceptual organization""","""Sensory fatigue""",C,"""Gestalt principles explain organization."""
Psychology,Chapter 2,hard,"""Why do camouflage patterns work?""","""They increase brightness""","""They reduce contour clarity""","""They raise thresholds""","""They cause adaptation""",B,"""Objects blend into background without clear contours."""
Psychology,Chapter 2,hard,"""Perceptual constancy allows us to?""","""Detect motion""","""Judge absolute size""","""Recognize objects despite changes""","""Ignore stimuli""",C,"""Objects appear stable despite sensory variation."""
Psychology,Chapter 3,hard,"""A temporary drop in performance due to fatigue is not learning because?""","""It involves reinforcement""","""It lacks experience""","""It is not relatively permanent""","""It is unconscious""",C,"""Learning excludes temporary states."""
Psychology,Chapter 3,hard,"""Why is maturation excluded from learning?""","""It is reinforcement-based""","""It is experience-independent""","""It is cognitive""","""It involves behavior""",B,"""Maturation occurs naturally without training."""
Psychology,Chapter 3,hard,"""Classical conditioning primarily involves?""","""Behavior shaped by consequences""","""Stimulus-stimulus association""","""Trial and error learning""","""Insight learning""",B,"""Pavlov paired stimuli, not behaviors."""
Psychology,Chapter 3,hard,"""Operant conditioning differs because it focuses on?""","""Automatic responses""","""Reflexes""","""Voluntary behavior and consequences""","""Unconscious drives""",C,"""Behavior is shaped by its outcomes."""
Psychology,Chapter 3,hard,"""Which situation best illustrates negative reinforcement?""","""Scolding a child""","""Removing pain to increase behavior""","""Giving reward""","""Ignoring behavior""",B,"""Removing unpleasant stimulus strengthens behavior."""
Psychology,Chapter 3,hard,"""Why is punishment less effective than reinforcement?""","""It strengthens behavior""","""It creates fear without learning alternatives""","""It is permanent""","""It improves motivation""",B,"""Punishment suppresses behavior but doesn't teach."""
Psychology,Chapter 3,hard,"""Insight learning challenges behaviorism because?""","""It ignores reinforcement""","""It occurs suddenly without trial and error""","""It involves animals""","""It is unconscious""",B,"""Kohler showed learning without gradual reinforcement."""
Psychology,Chapter 3,hard,"""Observational learning proves that?""","""Reinforcement is unnecessary""","""Learning can occur without direct experience""","""Behavior is instinctive""","""Learning is unconscious""",B,"""Bandura showed learning via modeling."""
Psychology,Chapter 3,hard,"""A child imitates aggression seen in adults. This supports?""","""Classical conditioning""","""Operant conditioning""","""Social learning""","""Insight learning""",C,"""Bandura's experiments demonstrated this."""
Psychology,Chapter 3,hard,"""Cognitive learning theories emphasize?""","""Muscle memory""","""Stimulus-response links""","""Mental representation and thinking""","""Unconscious motives""",C,"""Cognition involves internal processing."""
Psychology,Chapter 3,hard,"""Thorndike's Law of Effect implies that?""","""Practice alone ensures learning""","""Rewarded responses strengthen""","""All responses repeat equally""","""Punishment strengthens behavior""",B,"""Consequences shape learning."""
Psychology,Chapter 3,hard,"""Why does overlearning improve retention?""","""It causes fatigue""","""It strengthens neural connections""","""It increases punishment""","""It reduces motivation""",B,"""Repeated practice consolidates memory."""
Psychology,Chapter 3,hard,"""Which learning factor most directly influences persistence?""","""Intelligence""","""Reinforcement""","""Motivation""","""Maturation""",C,"""Motivation sustains effort over time."""
Psychology,Chapter 3,hard,"""A student understanding a problem suddenly after struggle demonstrates?""","""Conditioning""","""Trial and error""","""Insight learning""","""Observational learning""",C,"""Learning occurs through cognitive restructuring."""
Psychology,Chapter 4,simple,"""What is motivation?""","""A reflex action""","""A temporary emotion""","""An internal driving force""","""A habit""",C,"""Motivation energizes and directs behavior."""
Psychology,Chapter 4,simple,"""Which term refers to biological needs?""","""Incentive""","""Emotion""","""Drive""","""Instinct""",C,"""Drives arise from physiological needs."""
Psychology,Chapter 4,simple,"""Hunger is an example of?""","""Emotion""","""Drive""","""Incentive""","""Attitude""",B,"""Hunger motivates behavior biologically."""
Psychology,Chapter 4,simple,"""Which theory explains motivation as tension reduction?""","""Incentive theory""","""Drive reduction theory""","""Maslow theory""","""Cognitive theory""",B,"""Drive reduction theory focuses on restoring balance."""
Psychology,Chapter 4,simple,"""Which need is at the base of Maslow's hierarchy?""","""Esteem""","""Self-actualization""","""Physiological""","""Safety""",C,"""Physiological needs are the most basic."""
Psychology,Chapter 4,simple,"""Which need comes immediately after physiological needs?""","""Esteem""","""Safety""","""Love""","""Belonging""",B,"""Safety needs follow basic needs."""
Psychology,Chapter 4,simple,"""What is emotion?""","""A behavior""","""A thought""","""A physiological and psychological response""","""A habit""",C,"""Emotion involves feeling, arousal, and expression."""
Psychology,Chapter 4,simple,"""Which component of emotion involves bodily arousal?""","""Cognitive""","""Physiological""","""Behavioral""","""Social""",B,"""Physiological arousal includes heart rate and sweating."""
Psychology,Chapter 4,simple,"""Which emotion is considered basic?""","""Pride""","""Jealousy""","""Happiness""","""Shame""",C,"""Happiness is universally recognized."""
Psychology,Chapter 4,simple,"""Which theory says emotion follows arousal?""","""James-Lange""","""Cannon-Bard""","""Schachter-Singer""","""Incentive""",A,"""James-Lange theory proposes arousal precedes emotion."""
Psychology,Chapter 5,simple,"""What is intelligence?""","""Emotional control""","""Ability to learn and adapt""","""Memory only""","""Personality trait""",B,"""Intelligence involves learning and problem solving."""
Psychology,Chapter 5,simple,"""Who defined intelligence as the ability to adapt?""","""Binet""","""Wechsler""","""Stern""","""Thorndike""",D,"""Thorndike emphasized adaptability."""
Psychology,Chapter 5,simple,"""Who developed the first intelligence test?""","""Galton""","""Binet""","""Spearman""","""Terman""",B,"""Binet created the first IQ test."""
Psychology,Chapter 5,simple,"""IQ stands for?""","""Intelligence Quality""","""Intellectual Quotient""","""Individual Quantity""","""Internal Quality""",B,"""IQ means Intellectual Quotient."""
Psychology,Chapter 5,simple,"""What does IQ measure?""","""Knowledge only""","""Problem-solving ability""","""Emotional control""","""Creativity""",B,"""IQ assesses cognitive abilities."""
Psychology,Chapter 5,simple,"""Which type of intelligence involves words?""","""Musical""","""Logical""","""Linguistic""","""Spatial""",C,"""Linguistic intelligence relates to language."""
Psychology,Chapter 5,simple,"""Who proposed multiple intelligences?""","""Spearman""","""Thurstone""","""Gardner""","""Binet""",C,"""Gardner proposed multiple intelligences."""
Psychology,Chapter 5,simple,"""Which intelligence deals with numbers?""","""Musical""","""Bodily""","""Logical-mathematical""","""Interpersonal""",C,"""Logical intelligence handles numbers and reasoning."""
Psychology,Chapter 5,simple,"""Which intelligence involves understanding others?""","""Intrapersonal""","""Interpersonal""","""Spatial""","""Naturalistic""",B,"""Interpersonal intelligence deals with social understanding."""
Psychology,Chapter 5,simple,"""Which intelligence involves self-awareness?""","""Interpersonal""","""Logical""","""Intrapersonal""","""Linguistic""",C,"""Intrapersonal intelligence focuses on self."""
Psychology,Chapter 6,simple,"""What is personality?""","""Temporary mood""","""Physical appearance""","""Enduring behavior patterns""","""Intelligence""",C,"""Personality is stable behavior and traits."""
Psychology,Chapter 6,simple,"""Which term refers to personality traits?""","""Habits""","""Instincts""","""Characteristics""","""Emotions""",C,"""Traits describe personality features."""
Psychology,Chapter 6,simple,"""Who founded psychoanalytic theory?""","""Adler""","""Freud""","""Jung""","""Rogers""",B,"""Freud proposed psychoanalysis."""
Psychology,Chapter 6,simple,"""Which part of personality is present at birth?""","""Ego""","""Id""","""Super-ego""","""Self""",B,"""Id is instinctive and inborn."""
Psychology,Chapter 6,simple,"""Which part works on reality principle?""","""Id""","""Ego""","""Super-ego""","""Unconscious""",B,"""Ego balances id and reality."""
Psychology,Chapter 6,simple,"""Which part represents moral standards?""","""Id""","""Ego""","""Super-ego""","""Self""",C,"""Super-ego reflects morality."""
Psychology,Chapter 6,simple,"""Which theory focuses on unconscious mind?""","""Trait""","""Humanistic""","""Behavioral""","""Psychoanalytic""",D,"""Psychoanalysis emphasizes unconscious motives."""
Psychology,Chapter 6,simple,"""Which theory emphasizes free will?""","""Behavioral""","""Psychoanalytic""","""Humanistic""","""Biological""",C,"""Humanistic theory stresses free will."""
Psychology,Chapter 6,simple,"""Who proposed humanistic personality theory?""","""Freud""","""Skinner""","""Rogers""","""Pavlov""",C,"""Rogers emphasized self-concept."""
Psychology,Chapter 6,simple,"""Which concept is central to Rogers' theory?""","""Reinforcement""","""Unconscious conflict""","""Self-concept""","""Conditioning""",C,"""Self-concept is key in humanistic theory."""
Psychology,Chapter 6,simple,"""Which trait model uses five dimensions?""","""Eysenck""","""Allport""","""Big Five""","""Freud""",C,"""Big Five model includes five traits."""
Psychology,Chapter 6,simple,"""Which is NOT a Big Five trait?""","""Openness""","""Neuroticism""","""Honesty""","""Extraversion""",C,"""Honesty is not part of Big Five."""
Psychology,Chapter 6,simple,"""Which trait reflects sociability?""","""Neuroticism""","""Agreeableness""","""Extraversion""","""Openness""",C,"""Extraversion relates to sociability."""
Psychology,Chapter 6,simple,"""Which trait reflects emotional instability?""","""Openness""","""Neuroticism""","""Conscientiousness""","""Agreeableness""",B,"""Neuroticism indicates emotional instability."""
