subject,chapter,difficulty,question_text,option_a,option_b,option_c,option_d,correct_option,explanation
"Logic","Chapter 6","hard","Trick: 'All philosophers are thinkers; some thinkers are not scientists.' Inference about philosophers and scientists?","Some philosophers are scientists","No valid inference","All philosophers are scientists","Some philosophers are not scientists","B","Premises are insufficient to infer anything about philosophers and scientists."
"Logic","Chapter 6","hard","Case: 'All cats are mammals; no mammals are reptiles.' Inference about cats and reptiles?","Some cats are reptiles","All cats are reptiles","No cats are reptiles","No valid inference","C","If no mammals are reptiles and all cats are mammals, then no cats are reptiles."
"Logic","Chapter 6","hard","Trick: 'Some students are athletes; all athletes are disciplined.' What can be inferred about students and discipline?","Some students are disciplined","All students are disciplined","No valid inference","Some students are not disciplined","C","Premises do not provide enough info to infer students’ discipline."
"Logic","Chapter 6","hard","Case: 'All humans are mortal; Socrates is human.' Can we conclude Socrates is mortal?","Yes","No","Only if verified","Cannot say","A","This is a valid deductive syllogism."
"Logic","Chapter 6","hard","Trick: 'No A are B; all B are C.' Inference about A and C?","Some A are C","No valid inference","All A are C","Some A are not C","B","No valid inference can be drawn about A and C."
"Logic","Chapter 6","hard","Case: 'All cats are mammals; some mammals are pets.' Inference about cats being pets?","Some cats are pets","All cats are pets","No valid inference","All pets are cats","C","Premises do not provide enough information about cats and pets."
"Logic","Chapter 6","hard","Trick: 'All A are B; some B are C.' Immediate inference?","Some A are C","No valid inference","All B are C","Some A are not C","B","No immediate inference can be drawn."
"Logic","Chapter 6","hard","Case: 'All philosophers are humans; some humans are not scientists.' Inference about philosophers and scientists?","Some philosophers are scientists","No valid inference","All philosophers are scientists","Some philosophers are not scientists","B","Premises are insufficient for a conclusion about philosophers and scientists."
"Logic","Chapter 6","hard","Trick: 'Some A are B; no B are C.' What about A and C?","Some A are C","No A are C","No valid inference","All A are C","C","Cannot draw a valid conclusion about A and C."
"Logic","Chapter 6","hard","Case: 'All cats are animals; all animals are living.' Inference about cats?","All cats are living","Some cats are living","No cats are living","No valid inference","A","Transitive inference: all cats are living beings."
"Logic","Chapter 6","hard","Trick: 'Some students are not athletes; all athletes are disciplined.' Can we infer about students’ discipline?","Some students are disciplined","All students are disciplined","No valid inference","Some students are not disciplined","C","Cannot infer students’ discipline from premises."
"Logic","Chapter 6","hard","Case: 'No dogs are cats; some pets are dogs.' Can we infer pets and cats?","Some pets are cats","All pets are cats","No valid inference","No pets are cats","C","Premises insufficient to infer about pets and cats."
"Logic","Chapter 6","hard","Trick: 'All humans are mammals; some mammals are not humans.' Which is true?","All mammals are humans","Some mammals are not humans","No humans are mammals","No valid inference","B","Premise directly states some mammals are not humans."
"Logic","Chapter 6","hard","Case: 'Some students are athletes; all athletes are disciplined.' What can we conclude?","Some students are disciplined","All students are disciplined","No valid inference","All students are athletes","C","Premises do not allow conclusion about students’ discipline."
"Logic","Chapter 6","hard","Trick: 'All philosophers are thinkers; some thinkers are not scientists.' Inference about philosophers and scientists?","Some philosophers are scientists","No valid inference","All philosophers are scientists","Some philosophers are not scientists","B","Cannot conclude anything directly from these premises."
"Logic","Chapter 6","hard","Case: 'All cats are mammals; no mammals are reptiles.' Inference about cats and reptiles?","Some cats are reptiles","All cats are reptiles","No cats are reptiles","No valid inference","C","Cats being mammals ensures they cannot be reptiles."
"Logic","Chapter 6","hard","Trick: 'Some A are B; all B are C.' What about A and C?","Some A are C","All A are C","No valid inference","Some A are not C","C","Cannot draw a valid inference about A and C."
"Logic","Chapter 6","hard","Case: 'All humans are mortal; Socrates is human.' Can we conclude Socrates is mortal?","Yes","No","Only if verified","Cannot say","A","Standard deductive syllogism ensures the conclusion."
